student_id,class_attendance,class_participation,in_class_accuracy,exam_count,exam_tier,attendance_tier,participation_tier,overall_tier,first_attempt_score,next_attempt_date
1,16.7%,6.3%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
2,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,476.0,
3,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
4,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
5,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
6,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
7,100.0%,72.9%,68.3%,5,Tier 1,Tier 1,Tier 1,Tier 1,,
8,50.0%,4.2%,50.0%,7,Tier 1,Tier 2,Tier 3,Tier 3,499.0,5/9/26
9,100.0%,83.3%,59.8%,4,Tier 2,Tier 1,Tier 1,Tier 2,484.0,5/22/26
10,0.0%,0.0%,0.0%,5,Tier 1,Tier 3,Tier 3,Tier 3,516.0,5/14/26
11,16.7%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,,
12,16.7%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
13,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,,
14,50.0%,18.8%,44.4%,0,Tier 3,Tier 2,Tier 3,Tier 3,493.0,5/22/26
15,50.0%,25.0%,91.7%,4,Tier 2,Tier 2,Tier 3,Tier 3,,
16,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
17,0.0%,0.0%,0.0%,7,Tier 1,Tier 3,Tier 3,Tier 3,,
18,16.7%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
19,50.0%,37.5%,55.6%,1,Tier 3,Tier 2,Tier 3,Tier 3,481.0,
20,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,487.0,5/30/26
21,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,,
22,100.0%,0.0%,0.0%,1,Tier 3,Tier 1,Tier 3,Tier 3,480.0,5/8/26
23,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
24,83.3%,66.7%,71.9%,1,Tier 3,Tier 1,Tier 1,Tier 3,,
25,16.7%,0.0%,0.0%,6,Tier 1,Tier 3,Tier 3,Tier 3,506.0,5/9/26
26,16.7%,8.3%,100.0%,5,Tier 1,Tier 3,Tier 3,Tier 3,503.0,5/9/26
27,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
28,16.7%,2.1%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,488.0,5/22/26
29,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
30,16.7%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,507.0,4/24/26
31,50.0%,35.4%,53.2%,3,Tier 2,Tier 2,Tier 3,Tier 3,,
32,83.3%,54.2%,57.9%,3,Tier 2,Tier 1,Tier 2,Tier 2,499.0,4/11/26
33,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,514.0,
34,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
35,83.3%,43.8%,90.5%,1,Tier 3,Tier 1,Tier 2,Tier 3,,
36,50.0%,33.3%,81.5%,5,Tier 1,Tier 2,Tier 3,Tier 3,488.0,5/8/26
37,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
38,66.7%,16.7%,12.5%,1,Tier 3,Tier 2,Tier 3,Tier 3,483.0,
39,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
40,33.3%,18.8%,44.3%,2,Tier 3,Tier 3,Tier 3,Tier 3,486.0,5/9/26
41,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
42,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
43,83.3%,83.3%,65.0%,4,Tier 2,Tier 1,Tier 1,Tier 2,500.0,4/10/26
44,33.3%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,490.0,5/22/26
45,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
46,100.0%,58.3%,24.9%,2,Tier 3,Tier 1,Tier 2,Tier 3,,
47,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
48,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,499.0,4/25/26
49,100.0%,97.9%,78.8%,8,Tier 1,Tier 1,Tier 1,Tier 1,497.0,5/2/26
50,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
51,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
52,33.3%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
53,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,507.0,
54,0.0%,0.0%,0.0%,9,Tier 1,Tier 3,Tier 3,Tier 3,507.0,4/10/26
55,33.3%,18.8%,11.3%,1,Tier 3,Tier 3,Tier 3,Tier 3,493.0,5/14/26
56,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
57,66.7%,35.4%,35.5%,1,Tier 3,Tier 2,Tier 3,Tier 3,,
58,50.0%,41.7%,49.9%,1,Tier 3,Tier 2,Tier 2,Tier 3,,
59,66.7%,4.2%,50.0%,1,Tier 3,Tier 2,Tier 3,Tier 3,486.0,7/11/26
60,0.0%,0.0%,0.0%,10,Tier 1,Tier 3,Tier 3,Tier 3,,
61,0.0%,0.0%,0.0%,7,Tier 1,Tier 3,Tier 3,Tier 3,,
62,50.0%,39.6%,84.4%,1,Tier 3,Tier 2,Tier 3,Tier 3,,
63,66.7%,0.0%,0.0%,2,Tier 3,Tier 2,Tier 3,Tier 3,,
64,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,510.0,
65,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
66,83.3%,64.6%,71.0%,3,Tier 2,Tier 1,Tier 1,Tier 2,501.0,5/22/26
67,100.0%,97.9%,66.0%,7,Tier 1,Tier 1,Tier 1,Tier 1,485.0,4/22/26
68,50.0%,8.3%,100.0%,1,Tier 3,Tier 2,Tier 3,Tier 3,,
69,66.7%,58.3%,60.9%,4,Tier 2,Tier 2,Tier 2,Tier 2,492.0,5/22/26
70,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
71,16.7%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,486.0,
72,83.3%,14.6%,14.1%,2,Tier 3,Tier 1,Tier 3,Tier 3,494.0,5/2/26
73,0.0%,0.0%,0.0%,10,Tier 1,Tier 3,Tier 3,Tier 3,516.0,
74,66.7%,0.0%,0.0%,0,Tier 3,Tier 2,Tier 3,Tier 3,,
75,50.0%,10.4%,60.0%,0,Tier 3,Tier 2,Tier 3,Tier 3,492.0,
76,83.3%,79.2%,60.7%,4,Tier 2,Tier 1,Tier 1,Tier 2,495.0,5/22/26
77,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,494.0,5/9/26
78,33.3%,2.1%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
79,100.0%,0.0%,0.0%,2,Tier 3,Tier 1,Tier 3,Tier 3,501.0,5/22/26
80,33.3%,39.6%,52.4%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
81,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,487.0,
82,100.0%,54.2%,57.6%,0,Tier 3,Tier 1,Tier 2,Tier 3,477.0,
83,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
84,33.3%,25.0%,83.5%,0,Tier 3,Tier 3,Tier 3,Tier 3,486.0,5/14/26
85,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,512.0,
86,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,519.0,
87,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,505.0,5/14/26
88,33.3%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
89,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
90,100.0%,50.0%,37.5%,2,Tier 3,Tier 1,Tier 2,Tier 3,496.0,5/8/26
91,16.7%,12.5%,83.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,493.0,5/14/26
92,83.3%,75.0%,55.4%,1,Tier 3,Tier 1,Tier 1,Tier 3,492.0,
93,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
94,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,494.0,
95,0.0%,0.0%,0.0%,7,Tier 1,Tier 3,Tier 3,Tier 3,506.0,
96,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,,
97,50.0%,35.4%,88.4%,5,Tier 1,Tier 2,Tier 3,Tier 3,,
98,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,508.0,
99,33.3%,8.3%,25.0%,8,Tier 1,Tier 3,Tier 3,Tier 3,,
100,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,516.0,
101,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,509.0,5/9/26
102,0.0%,0.0%,0.0%,7,Tier 1,Tier 3,Tier 3,Tier 3,514.0,
103,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,494.0,5/2/26
104,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,499.0,5/22/26
105,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,,
106,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
107,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,489.0,5/30/26
108,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
109,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
110,0.0%,0.0%,0.0%,4,Tier 2,Tier 3,Tier 3,Tier 3,507.0,
111,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,514.0,
112,0.0%,0.0%,0.0%,4,Tier 2,Tier 3,Tier 3,Tier 3,,
113,0.0%,0.0%,0.0%,4,Tier 2,Tier 3,Tier 3,Tier 3,512.0,
114,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,,
115,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,501.0,4/24/26
116,0.0%,0.0%,0.0%,5,Tier 1,Tier 3,Tier 3,Tier 3,497.0,5/22/26
117,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,487.0,5/9/26
118,0.0%,0.0%,0.0%,9,Tier 1,Tier 3,Tier 3,Tier 3,504.0,
119,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
120,0.0%,0.0%,0.0%,5,Tier 1,Tier 3,Tier 3,Tier 3,495.0,5/14/26
121,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,494.0,5/22/26
122,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,502.0,5/22/26
123,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
124,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,514.0,
125,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,493.0,5/8/26
126,0.0%,0.0%,0.0%,7,Tier 1,Tier 3,Tier 3,Tier 3,511.0,
127,0.0%,0.0%,0.0%,5,Tier 1,Tier 3,Tier 3,Tier 3,,
128,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,500.0,5/14/26
129,0.0%,0.0%,0.0%,4,Tier 2,Tier 3,Tier 3,Tier 3,,
130,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
131,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
132,0.0%,0.0%,0.0%,9,Tier 1,Tier 3,Tier 3,Tier 3,,
133,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,511.0,
134,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,509.0,
135,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
136,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,478.0,5/2/26
137,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
138,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
139,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,502.0,5/16/26
140,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
141,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,483.0,5/9/26
142,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
143,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,5/8/26
144,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,509.0,
145,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,497.0,
146,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,497.0,3/7/26
147,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
148,0.0%,0.0%,0.0%,8,Tier 1,Tier 3,Tier 3,Tier 3,517.0,
149,0.0%,0.0%,0.0%,7,Tier 1,Tier 3,Tier 3,Tier 3,513.0,
150,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,508.0,
151,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,478.0,5/22/26
152,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,505.0,
153,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,501.0,4/25/26
154,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
155,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
